Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
1986-07-09,7.379058837890625,7.420985308560459,7.085573543201794,7.16942648454146,1116800
1986-07-10,7.337129592895508,7.462908957345145,7.169423773629324,7.420982502528599,595600
1986-07-11,7.085573196411133,7.337132008118037,7.085573196411133,7.29520553950022,800400
1986-07-14,6.875942230224609,7.127501092305998,6.792089276197481,7.127501092305998,738000
1986-07-15,6.666308879852295,6.834014763622164,6.247044170427622,6.834014763622164,2059200
1986-07-16,6.792088985443115,7.043647836755823,6.666309559786761,6.666309559786761,1160400
1986-07-17,6.834012031555176,6.875938485736496,6.708232669011216,6.792085577373856,1046000
1986-07-18,6.875942230224609,6.9388319457449565,6.708236322170351,6.8340157532110455,1420000
1986-07-21,6.875942230224609,6.917868707238175,6.8340157532110455,6.87594223022461,322800
1986-07-22,6.834012031555176,6.896901712827156,6.834012031555177,6.875938485736496,390800
1986-07-23,6.750161170959473,6.87594057166058,6.708234704059103,6.87594057166058,1004000
1986-07-24,6.666308879852295,6.792088292679697,6.58245593796736,6.75016182173723,1071600
1986-07-25,6.750161170959473,6.792087637859842,6.624381770258364,6.666308237158733,688400
1986-07-28,6.792088985443115,6.875941935880684,6.687272797396154,6.750162510224331,414800
1986-07-29,6.834012031555176,6.834012031555177,6.708232669011216,6.708232669011216,278400
1986-07-30,6.792088985443115,6.792088985443115,6.6243830845679765,6.750162510224331,459200
1986-07-31,6.750161170959473,6.87594057166058,6.708234704059103,6.792087637859842,1213600
1986-08-01,6.540530681610107,6.792089553979727,6.540530681610107,6.708236596523188,1118000
1986-08-04,6.540530681610107,6.582457160338377,6.393788006061163,6.582457160338377,892400
1986-08-05,6.4147515296936035,6.540530971452302,6.372825049107371,6.540530971452302,868800
1986-08-06,6.121265411376953,6.456677214740074,6.121265411376953,6.414750739319683,550400
1986-08-07,5.6181464195251465,6.079337543516017,5.45044055625574,6.037411077698665,7560000
1986-08-08,5.953557968139648,5.9954844327040115,5.618146251624738,5.660072716189102,2802000
1986-08-11,6.121265411376953,6.121265411376953,5.953559509695393,6.0374124605361725,1428000
1986-08-12,6.2889723777771,6.330898860295614,6.121266447703044,6.121266447703044,1155200
1986-08-13,6.498601913452148,6.771123929177561,6.288969593663369,6.330896057621125,865600
1986-08-14,6.37282657623291,6.582459029398466,6.288973594966687,6.540532538765355,762000
1986-08-15,6.2889723777771,6.372825342814128,6.163192930221557,6.372825342814128,654400
1986-08-18,6.498601913452148,6.624381305325415,6.205116665747858,6.330896057621125,606800
1986-08-19,6.4147515296936035,6.540530971452302,6.372825049107371,6.540530971452302,2744000
1986-08-20,6.37282657623291,6.414753066866021,6.288973594966687,6.414753066866021,500000
1986-08-21,6.330897331237793,6.414750276022399,6.330897331237793,6.372823803630096,353200
1986-08-22,6.2889723777771,6.414751825332641,6.2889723777771,6.372825342814128,286000
1986-08-25,6.205118656158447,6.372824565784351,6.121265701345496,6.372824565784351,766400
1986-08-26,6.2889723777771,6.2889723777771,6.163192930221557,6.163192930221557,408800
1986-08-27,6.247045993804932,6.28897247698483,6.163193027445134,6.28897247698483,686400
1986-08-28,6.163190841674805,6.247043778296231,6.121264373364092,6.247043778296231,286000
1986-08-29,6.121265411376953,6.205118362217733,6.079338935956563,6.121265411376953,1128800
1986-09-02,5.86970329284668,6.163188457489014,5.827776840754917,6.163188457489014,916800
1986-09-03,5.995484828948975,5.995484828948975,5.827778959607745,5.869705426943052,684400
1986-09-04,6.247045993804932,6.247045993804932,5.953560611545639,6.037413577905437,576800
1986-09-05,6.037411689758301,6.330896980232663,6.037411689758301,6.247044040097131,961600
1986-09-08,5.86970329284668,6.121262005397251,5.785850388663156,6.121262005397251,1793200
1986-09-09,5.78585147857666,5.869704398556032,5.701998558597288,5.827777938566346,388000
1986-09-10,5.702001094818115,5.7858540520948525,5.702001094818115,5.7858540520948525,802400
1986-09-11,5.324661731719971,5.743926435005007,5.19888232073446,5.743926435005007,6240000
1986-09-12,5.115030288696289,5.324662677577284,5.07310381092009,5.282736199801085,2066800
1986-09-15,5.115030288696289,5.1988832442486865,4.9892508553676915,5.115030288696289,1746800
1986-09-16,4.989248752593994,5.1150281329114895,4.905395832382331,5.073101672805658,1547200
1986-09-17,4.94732141494751,5.031174320285603,4.737689151602277,5.031174320285603,997600
1986-09-18,5.86970329284668,5.86970329284668,4.947321346827915,4.947321346827915,833200
1986-09-19,5.743928909301758,5.869708374468949,5.492369978967374,5.869708374468949,928000
1986-09-22,5.702001094818115,5.827780530733221,5.618148137541378,5.743927573456483,464000
1986-09-23,5.534294128417969,5.743926481767135,5.40851471640847,5.743926481767135,436400
1986-09-24,5.702001094818115,5.743927573456483,5.450442222987904,5.534295180264641,649600
1986-09-25,5.576222896575928,5.702002360408467,5.576222896575928,5.702002360408467,305600
1986-09-26,5.576222896575928,5.6600758724642874,5.534296408631747,5.576222896575928,278400
1986-09-29,5.534294128417969,5.618147069757636,5.40851471640847,5.618147069757636,724800
1986-09-30,5.743928909301758,5.869708374468949,5.492369978967374,5.492369978967374,773200
1986-10-01,5.743928909301758,5.869708374468949,5.743928909301758,5.827781886079886,668400
1986-10-02,5.743928909301758,5.785855397690821,5.743928909301758,5.743928909301758,592000
1986-10-03,5.6181464195251465,5.785852282794554,5.5342934878904435,5.785852282794554,228000
1986-10-06,5.660071849822998,5.701998307969835,5.576218933529324,5.701998307969835,467600
1986-10-07,5.660071849822998,5.701998307969835,5.618145391676161,5.618145391676161,176000
1986-10-08,5.78585147857666,5.78585147857666,5.6600720986076025,5.701998558597288,558800
1986-10-09,5.660071849822998,5.785851224263509,5.618145391676161,5.785851224263509,243200
1986-10-10,5.576222896575928,5.6600758724642874,5.534296408631747,5.6600758724642874,238400
1986-10-13,5.408514499664307,5.618146844612536,5.408514499664307,5.618146844612536,362800
1986-10-14,5.702001094818115,5.7858540520948525,5.408515744349535,5.408515744349535,612000
1986-10-15,5.86970329284668,5.911629744938441,5.701997484479632,5.743923936571393,606800
1986-10-16,5.827780246734619,5.911633199925045,5.827780246734619,5.8697067233298315,269200
1986-10-17,5.702001094818115,5.869707009371589,5.660074616179746,5.869707009371589,216000
1986-10-20,5.576222896575928,5.702002360408467,5.408516944799208,5.6600758724642874,595200
1986-10-21,5.492366790771484,5.5762197188748654,5.492366790771484,5.5762197188748654,327200
1986-10-22,5.534294128417969,5.576220599087802,5.492367657748136,5.576220599087802,396000
1986-10-23,5.555258750915527,5.57622199148502,5.534295510346034,5.57622199148502,1358400
1986-10-24,5.576222896575928,5.618149384520107,5.534296408631747,5.576222896575928,809600
1986-10-27,5.576222896575928,5.618149384520107,5.534296408631747,5.618149384520107,305200
1986-10-28,5.702001094818115,5.702001094818115,5.534295180264641,5.534295180264641,329200
1986-10-29,5.953557968139648,6.0374108972683755,5.701999180753466,5.701999180753466,835600
1986-10-30,6.07934045791626,6.163193429749588,5.911634514249605,5.953561000166268,973200
1986-10-31,6.037411689758301,6.079338159826067,5.953558749622769,6.079338159826067,632400
1986-11-03,6.037411689758301,6.079338159826067,5.953558749622769,5.953558749622769,408800
1986-11-04,5.995484828948975,6.0793377636195896,5.995484828948975,5.995484828948975,283200
1986-11-05,5.953557968139648,6.0374108972683755,5.953557968139648,6.0374108972683755,231200
1986-11-06,5.911633014678955,5.995485965241778,5.743927113553311,5.953559489960367,434000
1986-11-07,5.8906683921813965,5.995484555743343,5.8697051594690075,5.911631624893786,517200
1986-11-10,5.86970329284668,5.911629744938441,5.785850388663156,5.911629744938441,503200
1986-11-11,5.995484828948975,5.995484828948975,5.827778959607745,5.91163189427836,142000
1986-11-12,6.016448020935059,6.058374487979902,5.953558320367794,5.995484787412638,669600
1986-11-13,5.6181464195251465,6.037411077698665,5.6181464195251465,5.995484611881313,578800
1986-11-14,5.6181464195251465,5.660072885342498,5.492367022073092,5.5762199537077946,806000
1986-11-17,5.6181464195251465,5.660072885342498,5.5342934878904435,5.6181464195251465,734400
