Price,Close,High,Low,Open,Volume
Ticker,ASML,ASML,ASML,ASML,ASML
Date,,,,,
1995-03-15,1.2943708896636963,1.315943591524518,1.1217881043752034,1.1505519019232855,92646400
1995-03-16,1.423808217048645,1.4669536191284243,1.366280624141648,1.423808217048645,22867200
1995-03-17,1.3734713792800903,1.4309989824457596,1.3662808677851628,1.4309989824457596,17163733
1995-03-20,1.3662809133529663,1.3734714250877098,1.33751711081081,1.3662809133529663,7141333
1995-03-21,1.4309989213943481,1.4453811141726916,1.3518986167165088,1.3662808094948522,8198400
1995-03-22,1.6035817861557007,1.7114464806028453,1.438190073951534,1.438190073951534,18216533
1995-03-23,1.5676275491714478,1.632345666734584,1.5604364521529657,1.5892002550258266,8507733
1995-03-24,1.5748178958892822,1.5892000884184567,1.546054096031939,1.5820089921538696,2049067
1995-03-27,1.5963914394378662,1.5963914394378662,1.546054342753883,1.567627634990347,2526933
1995-03-28,1.646727204322815,1.7114458812876674,1.596390715661634,1.6035812246126353,13986133
1995-03-29,1.6539185047149658,1.7042549996530068,1.6251547097216699,1.66830010961116,5116800
1995-03-30,1.5604362487792969,1.6395365500701529,1.5172902574927445,1.6395365500701529,3025067
1995-03-31,1.6179640293121338,1.6179640293121336,1.517290428435311,1.5388637191095955,4603733
1995-04-03,1.5820084810256958,1.6107722715897994,1.5604357844028225,1.6107722715897994,3210667
1995-04-04,1.488526701927185,1.5820092106765242,1.4741450926124875,1.5748181134186319,2643200
1995-04-05,1.4525718688964844,1.4885261719833511,1.4381896795010345,1.4885261719833511,4864000
1995-04-06,1.4525718688964844,1.4885261719833511,1.4525718688964842,1.4669534730910552,2638933
1995-04-07,1.4525718688964844,1.4741445677887801,1.4309985848033098,1.4525718688964842,1559467
1995-04-10,1.5244814157485962,1.5532452160457395,1.4309989184826266,1.4525722076062455,2995200
1995-04-11,1.5244814157485962,1.5460541196711999,1.5100998082005321,1.5244814157485962,2439467
1995-04-12,1.553244948387146,1.564031225339606,1.5316722481819978,1.5316722481819978,4126933
1995-04-13,1.5244814157485962,1.5676274087948188,1.5100998082005321,1.5676274087948188,781867
1995-04-17,1.4741448163986206,1.5388635091909888,1.4741448163986206,1.510099710750045,1000533
1995-04-18,1.4453810453414917,1.4957175472665614,1.4309988532480495,1.474144844327387,1351467
1995-04-19,1.4309989213943481,1.4597627217500186,1.4309989213943481,1.4453811141726916,1766400
1995-04-20,1.4309989213943481,1.4597627217500186,1.4309989213943481,1.4381900177835198,1704533
1995-04-21,1.4597620964050293,1.4597620964050293,1.4525715882972035,1.4525715882972035,652800
1995-04-24,1.6395364999771118,1.6539186917002047,1.4597626146442904,1.4597626146442904,5712000
